complaint_id,complaint_text,domain,officer_id,priority,eta_days,status
HIST0001,Street lights on Civil Lines have not been working since 12 days causing safety issues at night.,infrastructure,OFF001,Medium,30,Resolved
HIST0002,Loudspeakers at City Hospital play music beyond permitted decibel levels daily disturbing residents.,noise_pollution,OFF008,Medium,4,Resolved
HIST0003,My house in Gomti Nagar was flooded due to nearby illegal construction blocking the natural drain.,housing,OFF010,Low,22,Resolved
HIST0004,The vaccination camp scheduled at Town Hall was cancelled without notice for 18 weeks.,healthcare,OFF006,Low,9,Resolved
HIST0005,High voltage fluctuation on Shastri Marg damaged our appliances. Need compensation and immediate fix.,electricity,OFF005,Medium,2,Closed
HIST0006,Water coming from taps in Sector 4 is brownish and smells bad. Definitely contaminated.,water_supply,OFF004,Medium,8,Resolved
HIST0007,Potholes on the main highway near Municipal Office causing frequent accidents and vehicle damage.,transport,OFF007,Medium,14,Resolved
HIST0008,Slum demolition in Powai was done without proper notice or rehabilitation arrangements for 13 families.,housing,OFF010,High,31,Closed
HIST0009,Received property tax notice for Krishna Nagar property with incorrect assessment value. Need correction.,taxation,OFF009,Low,25,Resolved
HIST0010,Dengue outbreak in Sector 4 - 17 cases confirmed. No fumigation or awareness drive started.,healthcare,OFF006,High,1,Resolved
HIST0011,The ambulance service in Banjara Hills took 10 hours to respond causing a patient's death.,healthcare,OFF006,High,1,Resolved
HIST0012,Common areas in government housing at Town Hall are being illegally encroached upon.,housing,OFF010,Low,61,Resolved
HIST0013,The road divider on MG Road was damaged in an accident last week and has not been repaired creating traffic hazards.,infrastructure,OFF001,High,1,Resolved
HIST0014,The drain near Civil Lines is completely clogged with garbage causing flooding during rains.,sanitation,OFF003,High,5,Closed
HIST0015,The drain near Gandhi Nagar is completely clogged with garbage causing flooding during rains.,sanitation,OFF003,High,4,Resolved
HIST0016,Illegal electricity connections tapped from main line on Sector 14 causing frequent outages.,electricity,OFF005,High,4,Closed
HIST0017,Loudspeakers at District Court play music beyond permitted decibel levels daily disturbing residents.,noise_pollution,OFF008,Low,18,Resolved
HIST0018,Underground utility cables are exposed on Shastri Marg posing serious electrocution risk.,utilities,OFF002,Medium,15,Resolved
HIST0019,Dead animals on Lal Bagh Road have not been removed for 14 days causing disease outbreak risk.,sanitation,OFF003,Medium,3,Resolved
HIST0020,Potholes on the main highway near Old Bus Stand causing frequent accidents and vehicle damage.,transport,OFF007,High,7,Closed
HIST0021,The footpath on MG Road is completely broken and dangerous for pedestrians especially elderly people.,infrastructure,OFF001,Medium,12,Resolved
HIST0022,A factory near Railway Station is running heavy machinery at night causing unbearable noise pollution.,noise_pollution,OFF008,High,3,Resolved
HIST0023,Dangling live electric wire on Sector 14 near Railway Station is a life-threatening hazard.,electricity,OFF005,Medium,9,Closed
HIST0024,Dead animals on Anna Salai have not been removed for 4 days causing disease outbreak risk.,sanitation,OFF003,Medium,5,Resolved
HIST0025,The drain near MG Road is completely clogged with garbage causing flooding during rains.,sanitation,OFF003,Medium,9,Resolved
HIST0026,Low water pressure in Andheri West since 2 days. Water does not reach above first floor.,water_supply,OFF004,High,1,Resolved
HIST0027,The transformer on Civil Lines is producing loud sparking sounds since last night. Very dangerous.,utilities,OFF002,High,9,Resolved
HIST0028,Garbage has not been collected from Koramangala for 7 days. The smell is unbearable and health hazard.,sanitation,OFF003,Medium,10,Resolved
HIST0029,The railway station at Municipal Office has no proper lighting in the parking area causing theft.,transport,OFF007,High,1,Closed
HIST0030,My GST registration application has been pending for 24 days without any response.,taxation,OFF009,Medium,30,Resolved
HIST0031,Dangling live electric wire on Anna Salai near Main Market is a life-threatening hazard.,electricity,OFF005,High,6,Resolved
HIST0032,The drainage system on Rajiv Chowk collapsed causing road cave-in and major commute disruption.,infrastructure,OFF001,High,12,Closed
HIST0033,"No sanitation in government hospital at Railway Station. Toilets not cleaned, wards have foul smell.",healthcare,OFF006,High,1,Resolved
HIST0034,Property tax amount for Koramangala is higher than neighbouring properties of same size without reason.,taxation,OFF009,Low,15,Resolved
HIST0035,Potholes on the main highway near City Hospital causing frequent accidents and vehicle damage.,transport,OFF007,Medium,6,Resolved
HIST0036,The drainage system on MG Road collapsed causing road cave-in and major commute disruption.,infrastructure,OFF001,Low,7,Resolved
HIST0037,Illegal DJ parties in open ground near Main Market till 3am disturbing entire neighbourhood.,noise_pollution,OFF008,Medium,2,Resolved
HIST0038,Slum demolition in Powai was done without proper notice or rehabilitation arrangements for 18 families.,housing,OFF010,Low,53,Resolved
HIST0039,Dangling live electric wire on Shastri Marg near Town Hall is a life-threatening hazard.,electricity,OFF005,High,5,Resolved
