complaint_text,domain,officer_id,priority,eta_days
Government housing allotted to someone else despite my name on the official list for Salt Lake. Kindly resolve at the earliest.,housing,OFF010,Medium,16
URGENT: A temple near Koramangala uses loudspeakers at 4am daily. Residents have complained 7 times.,noise_pollution,OFF008,High,2
A large pothole on Lal Bagh Road near Central Park caused my vehicle to break down. This has been reported 10 times before.,infrastructure,OFF001,Medium,23
Water coming from taps in Powai is brownish and smells bad. Definitely contaminated. We have been suffering for a long time.,water_supply,OFF004,High,1
A large pothole on Shastri Marg near Railway Station caused my vehicle to break down. This has been reported 20 times before. We have been suffering for a long time.,infrastructure,OFF001,Medium,13
Encroachment on public land near Gandhi Nagar has reduced the road width to dangerous levels. We have been suffering for a long time.,housing,OFF010,High,8
Open defecation is happening near Town Hall due to lack of public toilets. Urgent action needed. We have been suffering for a long time.,sanitation,OFF003,Medium,4
Received property tax notice for Salt Lake property with incorrect assessment value. Need correction. Kindly resolve at the earliest.,taxation,OFF009,Medium,24
URGENT: No water supply in Andheri West for 18 days. Residents are buying expensive tankers just to survive.,water_supply,OFF004,High,6
URGENT: Firecrackers being burst in Banjara Hills every night for 18 days causing distress to elderly and children.,noise_pollution,OFF008,High,3
E-rickshaw operators in Sector 4 are overloading passengers dangerously beyond capacity.,transport,OFF007,Medium,18
Street lights on Lal Bagh Road have not been working since 18 days causing safety issues at night. Please take urgent action.,infrastructure,OFF001,High,15
The footpath on Shastri Marg is completely broken and dangerous for pedestrians especially elderly people. Please take urgent action.,infrastructure,OFF001,Low,14
Illegal DJ parties in open ground near Municipal Office till 3am disturbing entire neighbourhood. This is not the first time this has happened.,noise_pollution,OFF008,Low,16
Mosquito breeding in stagnant water near Government School due to poor drainage in Sector 4. Kindly resolve at the earliest.,sanitation,OFF003,Medium,5
Street vendor electricity connections on Sector 14 are illegally tapped causing overload issues.,utilities,OFF002,Medium,9
Electricity bill for Salt Lake is three times higher than usual without any increase in usage. Please take urgent action.,electricity,OFF005,High,3
The pedestrian crossing near Municipal Office school has no zebra markings. Children in danger. This is not the first time this has happened.,transport,OFF007,Medium,11
The pedestrian crossing near Town Hall school has no zebra markings. Children in danger. Please take urgent action.,transport,OFF007,High,6
URGENT: The water tank at Old Bus Stand has overflowed for 23 consecutive days wasting thousands of litres.,water_supply,OFF004,High,7
Sewage water is mixing with drinking water pipeline near Sector 14. Very serious health risk. Please take urgent action.,water_supply,OFF004,Medium,14
Unhygienic food being sold near Town Hall hospital. Multiple food poisoning cases reported. We have been suffering for a long time.,healthcare,OFF006,High,3
Unhygienic food being sold near Railway Station hospital. Multiple food poisoning cases reported. Kindly resolve at the earliest.,healthcare,OFF006,High,3
Broken dustbins on Gandhi Nagar are causing litter to spread across the road and nearby shops. This is not the first time this has happened.,sanitation,OFF003,High,1
A large pothole on Sector 14 near Government School caused my vehicle to break down. This has been reported 4 times before.,infrastructure,OFF001,High,7
The sanitation workers in Sector 4 have not come for 13 days after the festival. Garbage piling up.,sanitation,OFF003,Low,5
Dengue outbreak in Whitefield - 18 cases confirmed. No fumigation or awareness drive started.,healthcare,OFF006,High,1
Repeated tripping of main supply in Ward 7 causing power cuts 6 times a day.,electricity,OFF005,Low,12
Open defecation is happening near Main Market due to lack of public toilets. Urgent action needed. We have been suffering for a long time.,sanitation,OFF003,Medium,6
Electricity bill for Salt Lake is three times higher than usual without any increase in usage. We have been suffering for a long time.,electricity,OFF005,High,3
Low water pressure in Salt Lake since 3 days. Water does not reach above first floor. This is not the first time this has happened.,water_supply,OFF004,Low,18
Honking near Old Bus Stand school zone is continuous despite no-horn boards. Students cannot concentrate. We have been suffering for a long time.,noise_pollution,OFF008,Medium,11
Expired medicines are being distributed at the health centre near Powai. Serious negligence. Please take urgent action.,healthcare,OFF006,Medium,3
Illegal parking of commercial vehicles on Nehru Street blocks traffic for hours every day. Kindly resolve at the earliest.,transport,OFF007,Medium,12
No water supply in Andheri West for 1 days. Residents are buying expensive tankers just to survive. We have been suffering for a long time.,water_supply,OFF004,Low,4
Streetlights in Powai are on during daytime wasting electricity for 2 days. We have been suffering for a long time.,electricity,OFF005,High,3
